Item,Year,yield,rainfall,pesticides_tonnes,avg_temp
Soybeans,1996,21395,3240,18131,22.07
Wheat,1996,21824,3240,18131,27.12
Wheat,1996,21824,3240,18131,22.07
Yams,1996,109892,3240,18131,27.12
Yams,1996,109892,3240,18131,22.07
Cassava,1997,92083,3240,16005,27.54
Cassava,1997,92083,3240,16005,22.9
Maize,1997,17054,3240,16005,27.54
Maize,1997,17054,3240,16005,22.9
Plantains and others,1997,70972,3240,16005,27.54
Plantains and others,1997,70972,3240,16005,22.9
Potatoes,1997,162924,3240,16005,27.54
Potatoes,1997,162924,3240,16005,22.9
"Rice, paddy",1997,46445,3240,16005,27.54
"Rice, paddy",1997,46445,3240,16005,22.9
Sorghum,1997,32129,3240,16005,27.54
Sorghum,1997,32129,3240,16005,22.9
Soybeans,1997,20780,3240,16005,27.54
Soybeans,1997,20780,3240,16005,22.9
Wheat,1997,21243,3240,16005,27.54
Wheat,1997,21243,3240,16005,22.9
Yams,1997,103399,3240,16005,27.54
Yams,1997,103399,3240,16005,22.9
Cassava,1998,90321,3240,60687,27.67
Cassava,1998,90321,3240,60687,23.07
Maize,1998,16598,3240,60687,27.67
Maize,1998,16598,3240,60687,23.07
Plantains and others,1998,67354,3240,60687,27.67
Plantains and others,1998,67354,3240,60687,23.07
Potatoes,1998,154602,3240,60687,27.67
Potatoes,1998,154602,3240,60687,23.07
"Rice, paddy",1998,47116,3240,60687,27.67
"Rice, paddy",1998,47116,3240,60687,23.07
Sorghum,1998,30228,3240,60687,27.67
Sorghum,1998,30228,3240,60687,23.07
Soybeans,1998,21197,3240,60687,27.67
Soybeans,1998,21197,3240,60687,23.07
Wheat,1998,20497,3240,60687,27.67
Wheat,1998,20497,3240,60687,23.07
Yams,1998,107832,3240,60687,27.67
Yams,1998,107832,3240,60687,23.07
Cassava,1999,97882,3240,66088,26.77
Cassava,1999,97882,3240,66088,21.83
Maize,1999,17961,3240,66088,26.77
Maize,1999,17961,3240,66088,21.83
Plantains and others,1999,69037,3240,66088,26.77
Plantains and others,1999,69037,3240,66088,21.83
Potatoes,1999,161620,3240,66088,26.77
Potatoes,1999,161620,3240,66088,21.83
"Rice, paddy",1999,48009,3240,66088,26.77
"Rice, paddy",1999,48009,3240,66088,21.83
Sorghum,1999,32948,3240,66088,26.77
Sorghum,1999,32948,3240,66088,21.83
Soybeans,1999,20361,3240,66088,26.77
Soybeans,1999,20361,3240,66088,21.83
Wheat,1999,21537,3240,66088,26.77
Wheat,1999,21537,3240,66088,21.83
Yams,1999,102843,3240,66088,26.77
Yams,1999,102843,3240,66088,21.83
Cassava,2000,99939,3240,75843,26.98
Cassava,2000,99939,3240,75843,22.01
Maize,2000,21064,3240,75843,26.98
Maize,2000,21064,3240,75843,22.01
Plantains and others,2000,72291,3240,75843,26.98
Plantains and others,2000,72291,3240,75843,22.01
Potatoes,2000,128180,3240,75843,26.98
Potatoes,2000,128180,3240,75843,22.01
"Rice, paddy",2000,47324,3240,75843,26.98
"Rice, paddy",2000,47324,3240,75843,22.01
Sorghum,2000,29211,3240,75843,26.98
Sorghum,2000,29211,3240,75843,22.01
Soybeans,2000,22493,3240,75843,26.98
Soybeans,2000,22493,3240,75843,22.01
Wheat,2000,15992,3240,75843,26.98
Wheat,2000,15992,3240,75843,22.01
Yams,2000,110616,3240,75843,26.98
Yams,2000,110616,3240,75843,22.01
Cassava,2001,104108,3240,85515.3,27.28
Cassava,2001,104108,3240,85515.3,22.5
Maize,2001,20755,3240,85515.3,27.28
Maize,2001,20755,3240,85515.3,22.5
Plantains and others,2001,77307,3240,85515.3,27.28
Plantains and others,2001,77307,3240,85515.3,22.5
Potatoes,2001,143742,3240,85515.3,27.28
Potatoes,2001,143742,3240,85515.3,22.5
"Rice, paddy",2001,45472,3240,85515.3,27.28
"Rice, paddy",2001,45472,3240,85515.3,22.5
Sorghum,2001,28509,3240,85515.3,27.28
Sorghum,2001,28509,3240,85515.3,22.5
Soybeans,2001,26594,3240,85515.3,27.28
Soybeans,2001,26594,3240,85515.3,22.5
Wheat,2001,15106,3240,85515.3,27.28
Wheat,2001,15106,3240,85515.3,22.5
Yams,2001,117102,3240,85515.3,27.28
Yams,2001,117102,3240,85515.3,22.5
Cassava,2002,103100,3240,84023.26,27.77
Cassava,2002,103100,3240,84023.26,22.73
Maize,2002,22773,3240,84023.26,27.77
Maize,2002,22773,3240,84023.26,22.73
Plantains and others,2002,78479,3240,84023.26,27.77
Plantains and others,2002,78479,3240,84023.26,22.73
Potatoes,2002,156377,3240,84023.26,27.77
Potatoes,2002,156377,3240,84023.26,22.73
"Rice, paddy",2002,48001,3240,84023.26,27.77
"Rice, paddy",2002,48001,3240,84023.26,22.73
Sorghum,2002,35000,3240,84023.26,27.77
Sorghum,2002,35000,3240,84023.26,22.73
Soybeans,2002,23600,3240,84023.26,27.77
Soybeans,2002,23600,3240,84023.26,22.73
Wheat,2002,17353,3240,84023.26,27.77
Wheat,2002,17353,3240,84023.26,22.73
Yams,2002,113682,3240,84023.26,27.77
Yams,2002,113682,3240,84023.26,22.73
Cassava,2004,108559,3240,105514.19,27.3
Cassava,2004,108559,3240,105514.19,22.63
Maize,2004,26357,3240,105514.19,27.3
Maize,2004,26357,3240,105514.19,22.63
Plantains and others,2004,78520,3240,105514.19,27.3
Plantains and others,2004,78520,3240,105514.19,22.63
Potatoes,2004,158199,3240,105514.19,27.3
Potatoes,2004,158199,3240,105514.19,22.63
"Rice, paddy",2004,48038,3240,105514.19,27.3
"Rice, paddy",2004,48038,3240,105514.19,22.63
Sorghum,2004,36000,3240,105514.19,27.3
Sorghum,2004,36000,3240,105514.19,22.63
Soybeans,2004,16169,3240,105514.19,27.3
Soybeans,2004,16169,3240,105514.19,22.63
Wheat,2004,18879,3240,105514.19,27.3
Wheat,2004,18879,3240,105514.19,22.63
Yams,2004,117050,3240,105514.19,27.3
Yams,2004,117050,3240,105514.19,22.63
Cassava,2005,106912,3240,117881.45,27.56
Cassava,2005,106912,3240,117881.45,22.69
Maize,2005,27537,3240,117881.45,27.56
Maize,2005,27537,3240,117881.45,22.69
Plantains and others,2005,78868,3240,117881.45,27.56
Plantains and others,2005,78868,3240,117881.45,22.69
Potatoes,2005,151954,3240,117881.45,27.56
Potatoes,2005,151954,3240,117881.45,22.69
"Rice, paddy",2005,48388,3240,117881.45,27.56
"Rice, paddy",2005,48388,3240,117881.45,22.69
Sorghum,2005,37000,3240,117881.45,27.56
Sorghum,2005,37000,3240,117881.45,22.69
Soybeans,2005,20000,3240,117881.45,27.56
Soybeans,2005,20000,3240,117881.45,22.69
Wheat,2005,23371,3240,117881.45,27.56
Wheat,2005,23371,3240,117881.45,22.69
Yams,2005,117678,3240,117881.45,27.56
Yams,2005,117678,3240,117881.45,22.69
Cassava,2006,103639,3240,98328.63,27.51
Cassava,2006,103639,3240,98328.63,22.6
Maize,2006,25368,3240,98328.63,27.51
Maize,2006,25368,3240,98328.63,22.6
Plantains and others,2006,81953,3240,98328.63,27.51
Plantains and others,2006,81953,3240,98328.63,22.6
Potatoes,2006,159033,3240,98328.63,27.51
Potatoes,2006,159033,3240,98328.63,22.6
"Rice, paddy",2006,45717,3240,98328.63,27.51
"Rice, paddy",2006,45717,3240,98328.63,22.6
Sorghum,2006,37000,3240,98328.63,27.51
Sorghum,2006,37000,3240,98328.63,22.6
Soybeans,2006,20000,3240,98328.63,27.51
Soybeans,2006,20000,3240,98328.63,22.6
Wheat,2006,15490,3240,98328.63,27.51
Wheat,2006,15490,3240,98328.63,22.6
Yams,2006,105600,3240,98328.63,27.51
Yams,2006,105600,3240,98328.63,22.6
Cassava,2007,108337,3240,82439.06,27.45
Cassava,2007,108337,3240,82439.06,22.48
Maize,2007,27661,3240,82439.06,27.45
Maize,2007,27661,3240,82439.06,22.48
Plantains and others,2007,81560,3240,82439.06,27.45
Plantains and others,2007,81560,3240,82439.06,22.48
Potatoes,2007,166986,3240,82439.06,27.45
Potatoes,2007,166986,3240,82439.06,22.48
"Rice, paddy",2007,49020,3240,82439.06,27.45
"Rice, paddy",2007,49020,3240,82439.06,22.48
Sorghum,2007,37000,3240,82439.06,27.45
Sorghum,2007,37000,3240,82439.06,22.48
Soybeans,2007,20000,3240,82439.06,27.45
Soybeans,2007,20000,3240,82439.06,22.48
Wheat,2007,18709,3240,82439.06,27.45
Wheat,2007,18709,3240,82439.06,22.48
Yams,2007,104038,3240,82439.06,27.45
Yams,2007,104038,3240,82439.06,22.48
Cassava,2008,109215,3240,48538.97,27.16
Cassava,2008,109215,3240,48538.97,22.07
Maize,2008,27712,3240,48538.97,27.16
Maize,2008,27712,3240,48538.97,22.07
Plantains and others,2008,81611,3240,48538.97,27.16
Plantains and others,2008,81611,3240,48538.97,22.07
Potatoes,2008,176013,3240,48538.97,27.16
Potatoes,2008,176013,3240,48538.97,22.07
"Rice, paddy",2008,48887,3240,48538.97,27.16
"Rice, paddy",2008,48887,3240,48538.97,22.07
Sorghum,2008,37100,3240,48538.97,27.16
Sorghum,2008,37100,3240,48538.97,22.07
Soybeans,2008,21574,3240,48538.97,27.16
Soybeans,2008,21574,3240,48538.97,22.07
Wheat,2008,18151,3240,48538.97,27.16
Wheat,2008,18151,3240,48538.97,22.07
Yams,2008,104870,3240,48538.97,27.16
Yams,2008,104870,3240,48538.97,22.07
Cassava,2009,106899,3240,51435.13,27.68
Cassava,2009,106899,3240,51435.13,22.87
Maize,2009,26845,3240,51435.13,27.68
Maize,2009,26845,3240,51435.13,22.87
Plantains and others,2009,78714,3240,51435.13,27.68
Plantains and others,2009,78714,3240,51435.13,22.87
Potatoes,2009,183793,3240,51435.13,27.68
Potatoes,2009,183793,3240,51435.13,22.87
"Rice, paddy",2009,46956,3240,51435.13,27.68
"Rice, paddy",2009,46956,3240,51435.13,22.87
Sorghum,2009,37000,3240,51435.13,27.68
Sorghum,2009,37000,3240,51435.13,22.87
Soybeans,2009,22000,3240,51435.13,27.68
Soybeans,2009,22000,3240,51435.13,22.87
Wheat,2009,16946,3240,51435.13,27.68
Wheat,2009,16946,3240,51435.13,22.87
Yams,2009,106037,3240,51435.13,27.68
Yams,2009,106037,3240,51435.13,22.87
Cassava,2010,106094,3240,48618.46,27.54
Cassava,2010,106094,3240,48618.46,22.68
Maize,2010,27227,3240,48618.46,27.54
Maize,2010,27227,3240,48618.46,22.68
Plantains and others,2010,80771,3240,48618.46,27.54
Plantains and others,2010,80771,3240,48618.46,22.68
Potatoes,2010,172462,3240,48618.46,27.54
Potatoes,2010,172462,3240,48618.46,22.68
"Rice, paddy",2010,41223,3240,48618.46,27.54
"Rice, paddy",2010,41223,3240,48618.46,22.68
Sorghum,2010,57069,3240,48618.46,27.54
Sorghum,2010,57069,3240,48618.46,22.68
Soybeans,2010,17152,3240,48618.46,27.54
Soybeans,2010,17152,3240,48618.46,22.68
Wheat,2010,17697,3240,48618.46,27.54
Wheat,2010,17697,3240,48618.46,22.68
Yams,2010,108871,3240,48618.46,27.54
Yams,2010,108871,3240,48618.46,22.68
Cassava,2011,107039,3240,53797,27.18
Cassava,2011,107039,3240,53797,22.33
Maize,2011,28591,3240,53797,27.18
Maize,2011,28591,3240,53797,22.33
Plantains and others,2011,79624,3240,53797,27.18
Plantains and others,2011,79624,3240,53797,22.33
Potatoes,2011,173390,3240,53797,27.18
Potatoes,2011,173390,3240,53797,22.33
"Rice, paddy",2011,39589,3240,53797,27.18
"Rice, paddy",2011,39589,3240,53797,22.33
Sorghum,2011,38975,3240,53797,27.18
Sorghum,2011,38975,3240,53797,22.33
Soybeans,2011,21766,3240,53797,27.18
Soybeans,2011,21766,3240,53797,22.33
Wheat,2011,15964,3240,53797,27.18
Wheat,2011,15964,3240,53797,22.33
Yams,2011,111246,3240,53797,27.18
Yams,2011,111246,3240,53797,22.33
Cassava,2012,96365,3240,48727.73,27.56
Cassava,2012,96365,3240,48727.73,22.58
Maize,2012,29052,3240,48727.73,27.56
Maize,2012,29052,3240,48727.73,22.58
Plantains and others,2012,80883,3240,48727.73,27.56
Plantains and others,2012,80883,3240,48727.73,22.58
Potatoes,2012,181661,3240,48727.73,27.56
Potatoes,2012,181661,3240,48727.73,22.58
"Rice, paddy",2012,48066,3240,48727.73,27.56
"Rice, paddy",2012,48066,3240,48727.73,22.58
Sorghum,2012,38191,3240,48727.73,27.56
Sorghum,2012,38191,3240,48727.73,22.58
Soybeans,2012,26639,3240,48727.73,27.56
Soybeans,2012,26639,3240,48727.73,22.58
Wheat,2012,15196,3240,48727.73,27.56
Wheat,2012,15196,3240,48727.73,22.58
Yams,2012,109759,3240,48727.73,27.56
Yams,2012,109759,3240,48727.73,22.58
Cassava,2013,99633,3240,54563.38,27.6
Cassava,2013,99633,3240,54563.38,22.85
Maize,2013,28246,3240,54563.38,27.6
Maize,2013,28246,3240,54563.38,22.85
Plantains and others,2013,84230,3240,54563.38,27.6
Plantains and others,2013,84230,3240,54563.38,22.85
Potatoes,2013,185619,3240,54563.38,27.6
Potatoes,2013,185619,3240,54563.38,22.85
"Rice, paddy",2013,38371,3240,54563.38,27.6
"Rice, paddy",2013,38371,3240,54563.38,22.85
Sorghum,2013,32034,3240,54563.38,27.6
Sorghum,2013,32034,3240,54563.38,22.85
Soybeans,2013,27250,3240,54563.38,27.6
Soybeans,2013,27250,3240,54563.38,22.85
Wheat,2013,16938,3240,54563.38,27.6
Wheat,2013,16938,3240,54563.38,22.85
Yams,2013,109992,3240,54563.38,27.6
Yams,2013,109992,3240,54563.38,22.85
Maize,1992,41535,1113,2304,10.78
Potatoes,1992,79015,1113,2304,10.78
Sorghum,1992,45214,1113,2304,10.78
Soybeans,1992,17593,1113,2304,10.78
Wheat,1992,38967,1113,2304,10.78
Maize,1993,44822,1113,2675.33,10.19
Potatoes,1993,78435,1113,2675.33,10.19
Sorghum,1993,39320,1113,2675.33,10.19
Soybeans,1993,23084,1113,2675.33,10.19
Wheat,1993,41867,1113,2675.33,10.19
Maize,1994,45529,1113,3046.67,11.33
Potatoes,1994,84888,1113,3046.67,11.33
Sorghum,1994,43162,1113,3046.67,11.33
Soybeans,1994,21594,1113,3046.67,11.33
Wheat,1994,37823,1113,3046.67,11.33
Maize,1995,49027,1113,3418,10.14
Potatoes,1995,104158,1113,3418,10.14
Sorghum,1995,40301,1113,3418,10.14
Soybeans,1995,22852,1113,3418,10.14
Wheat,1995,38605,1113,3418,10.14
Maize,1996,52192,1113,3148,9.24
Potatoes,1996,101625,1113,3148,9.24
Sorghum,1996,41101,1113,3148,9.24
Soybeans,1996,21857,1113,3148,9.24
Wheat,1996,36905,1113,3148,9.24
Maize,1997,58802,1113,3026.25,10.18
Potatoes,1997,98123,1113,3026.25,10.18
Sorghum,1997,41797,1113,3026.25,10.18
Soybeans,1997,24622,1113,3026.25,10.18
Wheat,1997,40000,1113,3026.25,10.18
Maize,1998,52474,1113,2904.5,10.42
Potatoes,1998,102378,1113,2904.5,10.42
Sorghum,1998,44046,1113,2904.5,10.42
Soybeans,1998,22772,1113,2904.5,10.42
Wheat,1998,42214,1113,2904.5,10.42
Maize,1999,55584,1113,2782.75,10.51
Potatoes,1999,109779,1113,2782.75,10.51
Sorghum,1999,43581,1113,2782.75,10.51
Soybeans,1999,25003,1113,2782.75,10.51
Wheat,1999,32976,1113,2782.75,10.51
Maize,2000,40701,1113,2661,11.45
Potatoes,2000,84883,1113,2661,11.45
Sorghum,2000,43025,1113,2661,11.45
Soybeans,2000,13752,1113,2661,11.45
Wheat,2000,47455,1113,2661,11.45
Maize,2001,56659,1113,2539.25,10.74
Potatoes,2001,102106,1113,2539.25,10.74
Sorghum,2001,41138,1113,2539.25,10.74
Soybeans,2001,22066,1113,2539.25,10.74
Wheat,2001,44047,1113,2539.25,10.74
Maize,2002,63767,1113,2417.5,11.18
Potatoes,2002,113892,1113,2417.5,11.18
Sorghum,2002,40854,1113,2417.5,11.18
Soybeans,2002,27031,1113,2417.5,11.18
Wheat,2002,45919,1113,2417.5,11.18
Maize,2004,63054,1113,2174,10.06
Potatoes,2004,153997,1113,2174,10.06
Sorghum,2004,37125,1113,2174,10.06
Soybeans,2004,21545,1113,2174,10.06
Wheat,2004,49278,1113,2174,10.06
Maize,2005,69182,1113,2053,9.62
Potatoes,2005,144638,1113,2053,9.62
Sorghum,2005,30000,1113,2053,9.62
Soybeans,2005,24808,1113,2053,9.62
Wheat,2005,41144,1113,2053,9.62
Maize,2006,65312,1113,2150,10.56
Potatoes,2006,163810,1113,2150,10.56
Sorghum,2006,26667,1113,2150,10.56
Soybeans,2006,27737,1113,2150,10.56
Wheat,2006,45833,1113,2150,10.56
Maize,2007,49371,1113,2015,11.31
Potatoes,2007,170730,1113,2015,11.31
Sorghum,2007,30000,1113,2015,11.31
Soybeans,2007,19489,1113,2015,11.31
Wheat,2007,46408,1113,2015,11.31
Maize,2008,79759,1113,2388,11.09
Potatoes,2008,170369,1113,2388,11.09
Sorghum,2008,35023,1113,2388,11.09
Soybeans,2008,30053,1113,2388,11.09
Wheat,2008,54833,1113,2388,11.09
Maize,2009,73508,1113,2070,11.06
Potatoes,2009,193036,1113,2070,11.06
Sorghum,2009,24835,1113,2070,11.06
Soybeans,2009,26000,1113,2070,11.06
Wheat,2009,51896,1113,2070,11.06
Maize,2010,69678,1113,1540,10
Potatoes,2010,163115,1113,1540,10
Sorghum,2010,25641,1113,1540,10
Soybeans,2010,27203,1113,1540,10
Wheat,2010,40415,1113,1540,10
Maize,2011,56817,1113,1638.74,11.02
Potatoes,2011,153960,1113,1638.74,11.02
Sorghum,2011,32000,1113,1638.74,11.02
Soybeans,2011,25005,1113,1638.74,11.02
Wheat,2011,52237,1113,1638.74,11.02
Maize,2012,43374,1113,1737.47,11.12
Potatoes,2012,147848,1113,1737.47,11.12
Sorghum,2012,35729,1113,1737.47,11.12
Soybeans,2012,17875,1113,1737.47,11.12
Wheat,2012,53473,1113,1737.47,11.12
Maize,2013,65000,1113,1836.21,11.58
Potatoes,2013,158785,1113,1836.21,11.58
Sorghum,2013,50203,1113,1836.21,11.58
Soybeans,2013,23606,1113,1836.21,11.58
Wheat,2013,48846,1113,1836.21,11.58
Maize,2010,48105,703,3894,7.54
Potatoes,2010,352675,703,3894,7.54
Wheat,2010,66264,703,3894,7.54
Maize,2011,52170,703,4249.48,9.31
Potatoes,2011,389423,703,4249.48,9.31
Wheat,2011,64672,703,4249.48,9.31
Maize,2012,58217,703,5716,8.7
Potatoes,2012,421316,703,5716,8.7
Wheat,2012,73687,703,5716,8.7
Maize,2013,59141,703,4118,8.81
Potatoes,2013,415732,703,4118,8.81
Wheat,2013,72992,703,4118,8.81
Potatoes,1990,374583,703,5650,9.83
Wheat,1990,74180,703,5650,9.83
Potatoes,1991,336135,703,4628,8.62
Wheat,1991,70749,703,4628,8.62
Potatoes,1992,330083,703,4566,9.47
Wheat,1992,61510,703,4566,9.47
Potatoes,1993,386777,703,4103,8.16
Wheat,1993,69791,703,4103,8.16
Potatoes,1994,348378,703,3922,9.15
Wheat,1994,64948,703,3922,9.15
Potatoes,1995,339644,703,5043,8.75
Wheat,1995,75633,703,5043,8.75
Potatoes,1996,367500,703,3672,7.31
Wheat,1996,69864,703,3672,7.31
Potatoes,1997,396154,703,3679,8.91
Wheat,1997,72057,703,3679,8.91
Potatoes,1998,404433,703,3623,8.65
Wheat,1998,72476,703,3623,8.65
Potatoes,1999,395507,703,2867,9.37
Wheat,1999,70074,703,2867,9.37
Potatoes,2000,424863,703,3174,9.67
Wheat,2000,74797,703,3174,9.67
Potatoes,2001,403828,703,3311,8.78
Wheat,2001,73559,703,3311,8.78
Potatoes,2002,399066,703,2868,9.54
Wheat,2002,70345,703,2868,9.54
Potatoes,2004,397415,703,2899,9
Wheat,2004,71406,703,2899,9
Potatoes,2005,394100,703,3246,9.11
Wheat,2005,72328,703,3246,9.11
Potatoes,2006,352642,703,3212,9.74
Wheat,2006,69964,703,3212,9.74
Potatoes,2007,385647,703,3336,9.87
Wheat,2007,65610,703,3336,9.87
Potatoes,2008,416339,703,4145,9.82
Wheat,2008,78638,703,4145,9.82
Potatoes,2009,415861,703,2836,9.22
Wheat,2009,80373,703,2836,9.22
Cassava,1990,64479,1410,4971,26.67
Cassava,1990,64479,1410,4971,26.61
Maize,1990,16479,1410,4971,26.67
Maize,1990,16479,1410,4971,26.61
Plantains and others,1990,98884,1410,4971,26.67
Plantains and others,1990,98884,1410,4971,26.61
Potatoes,1990,118759,1410,4971,26.67
Potatoes,1990,118759,1410,4971,26.61
"Rice, paddy",1990,47851,1410,4971,26.67
"Rice, paddy",1990,47851,1410,4971,26.61
Sorghum,1990,24008,1410,4971,26.67
Sorghum,1990,24008,1410,4971,26.61
Sweet potatoes,1990,60677,1410,4971,26.67
Sweet potatoes,1990,60677,1410,4971,26.61
Yams,1990,51705,1410,4971,26.67
Yams,1990,51705,1410,4971,26.61
Cassava,1991,77740,1410,4971,26.57
Cassava,1991,77740,1410,4971,26.43
Maize,1991,16223,1410,4971,26.57
Maize,1991,16223,1410,4971,26.43
Plantains and others,1991,108065,1410,4971,26.57
Plantains and others,1991,108065,1410,4971,26.43
Potatoes,1991,123819,1410,4971,26.57
Potatoes,1991,123819,1410,4971,26.43
"Rice, paddy",1991,48092,1410,4971,26.57
"Rice, paddy",1991,48092,1410,4971,26.43
Sorghum,1991,19295,1410,4971,26.57
Sorghum,1991,19295,1410,4971,26.43
Sweet potatoes,1991,68826,1410,4971,26.57
Sweet potatoes,1991,68826,1410,4971,26.43
Yams,1991,71153,1410,4971,26.57
Yams,1991,71153,1410,4971,26.43
Cassava,1992,54098,1410,4971,26.45
Cassava,1992,54098,1410,4971,26.4
Maize,1992,13760,1410,4971,26.45
Maize,1992,13760,1410,4971,26.4
Plantains and others,1992,79229,1410,4971,26.45
Plantains and others,1992,79229,1410,4971,26.4
Potatoes,1992,86284,1410,4971,26.45
Potatoes,1992,86284,1410,4971,26.4
"Rice, paddy",1992,89767,1410,4971,26.45
"Rice, paddy",1992,89767,1410,4971,26.4
Sorghum,1992,25700,1410,4971,26.45
Sorghum,1992,25700,1410,4971,26.4
Sweet potatoes,1992,62031,1410,4971,26.45
Sweet potatoes,1992,62031,1410,4971,26.4
Yams,1992,54622,1410,4971,26.45
Yams,1992,54622,1410,4971,26.4
Cassava,1993,60006,1410,4971,26.41
Cassava,1993,60006,1410,4971,26.38
Maize,1993,14105,1410,4971,26.41
Maize,1993,14105,1410,4971,26.38
Plantains and others,1993,105020,1410,4971,26.41
Plantains and others,1993,105020,1410,4971,26.38
Potatoes,1993,98385,1410,4971,26.41
Potatoes,1993,98385,1410,4971,26.38
"Rice, paddy",1993,50096,1410,4971,26.41
"Rice, paddy",1993,50096,1410,4971,26.38
Sorghum,1993,21713,1410,4971,26.41
Sorghum,1993,21713,1410,4971,26.38
Sweet potatoes,1993,54771,1410,4971,26.41
Sweet potatoes,1993,54771,1410,4971,26.38
Yams,1993,57115,1410,4971,26.41
Yams,1993,57115,1410,4971,26.38
Cassava,1994,60160,1410,4971,26.78
Cassava,1994,60160,1410,4971,26.64
Maize,1994,10268,1410,4971,26.78
Maize,1994,10268,1410,4971,26.64
Plantains and others,1994,71308,1410,4971,26.78
Plantains and others,1994,71308,1410,4971,26.64
Potatoes,1994,121589,1410,4971,26.78
Potatoes,1994,121589,1410,4971,26.64
"Rice, paddy",1994,46589,1410,4971,26.78
"Rice, paddy",1994,46589,1410,4971,26.64
Sorghum,1994,20233,1410,4971,26.78
Sorghum,1994,20233,1410,4971,26.64
Sweet potatoes,1994,61641,1410,4971,26.78
Sweet potatoes,1994,61641,1410,4971,26.64
Yams,1994,48632,1410,4971,26.78
Yams,1994,48632,1410,4971,26.64
Cassava,1995,62154,1410,3449,26.82
Cassava,1995,62154,1410,3449,26.78
Maize,1995,14034,1410,3449,26.82
Maize,1995,14034,1410,3449,26.78
Plantains and others,1995,89385,1410,3449,26.82
Plantains and others,1995,89385,1410,3449,26.78
Potatoes,1995,103563,1410,3449,26.82
Potatoes,1995,103563,1410,3449,26.78
"Rice, paddy",1995,47722,1410,3449,26.82
"Rice, paddy",1995,47722,1410,3449,26.78
Sorghum,1995,24329,1410,3449,26.82
Sorghum,1995,24329,1410,3449,26.78
Sweet potatoes,1995,53487,1410,3449,26.82
Sweet potatoes,1995,53487,1410,3449,26.78
Yams,1995,53450,1410,3449,26.82
Yams,1995,53450,1410,3449,26.78
Cassava,1996,60748,1410,3493,26.29
Cassava,1996,60748,1410,3493,26.31
Maize,1996,13584,1410,3493,26.29
Maize,1996,13584,1410,3493,26.31
Plantains and others,1996,81850,1410,3493,26.29
Plantains and others,1996,81850,1410,3493,26.31
Potatoes,1996,98893,1410,3493,26.29
Potatoes,1996,98893,1410,3493,26.31
"Rice, paddy",1996,46016,1410,3493,26.29
"Rice, paddy",1996,46016,1410,3493,26.31
Sorghum,1996,26850,1410,3493,26.29
Sorghum,1996,26850,1410,3493,26.31
Sweet potatoes,1996,55926,1410,3493,26.29
Sweet potatoes,1996,55926,1410,3493,26.31
Yams,1996,58904,1410,3493,26.29
Yams,1996,58904,1410,3493,26.31
Cassava,1997,59409,1410,3846,27.18
Cassava,1997,59409,1410,3846,27.01
Maize,1997,11770,1410,3846,27.18
Maize,1997,11770,1410,3846,27.01
Plantains and others,1997,72082,1410,3846,27.18
Plantains and others,1997,72082,1410,3846,27.01
Potatoes,1997,92123,1410,3846,27.18
Potatoes,1997,92123,1410,3846,27.01
"Rice, paddy",1997,48213,1410,3846,27.18
"Rice, paddy",1997,48213,1410,3846,27.01
Sorghum,1997,25468,1410,3846,27.18
Sorghum,1997,25468,1410,3846,27.01
Sweet potatoes,1997,49019,1410,3846,27.18
Sweet potatoes,1997,49019,1410,3846,27.01
Yams,1997,51088,1410,3846,27.18
Yams,1997,51088,1410,3846,27.01
Cassava,1998,62593,1410,4375,27.16
Cassava,1998,62593,1410,4375,27.14
Maize,1998,13001,1410,4375,27.16
Maize,1998,13001,1410,4375,27.14
Plantains and others,1998,79861,1410,4375,27.16
Plantains and others,1998,79861,1410,4375,27.14
Potatoes,1998,91000,1410,4375,27.16
Potatoes,1998,91000,1410,4375,27.14
"Rice, paddy",1998,42709,1410,4375,27.16
"Rice, paddy",1998,42709,1410,4375,27.14
Sorghum,1998,24125,1410,4375,27.16
Sorghum,1998,24125,1410,4375,27.14
Sweet potatoes,1998,55893,1410,4375,27.16
Sweet potatoes,1998,55893,1410,4375,27.14
Yams,1998,61802,1410,4375,27.16
Yams,1998,61802,1410,4375,27.14
Cassava,1999,64588,1410,5398,26.66
Cassava,1999,64588,1410,5398,26.62
Maize,1999,12633,1410,5398,26.66
Maize,1999,12633,1410,5398,26.62
Plantains and others,1999,97323,1410,5398,26.66
Plantains and others,1999,97323,1410,5398,26.62
Potatoes,1999,110524,1410,5398,26.66
Potatoes,1999,110524,1410,5398,26.62
"Rice, paddy",1999,45422,1410,5398,26.66
"Rice, paddy",1999,45422,1410,5398,26.62
Sorghum,1999,25384,1410,5398,26.66
Sorghum,1999,25384,1410,5398,26.62
Sweet potatoes,1999,61874,1410,5398,26.66
Sweet potatoes,1999,61874,1410,5398,26.62
Yams,1999,59554,1410,5398,26.66
Yams,1999,59554,1410,5398,26.62
Cassava,2000,65367,1410,5082,26.37
Cassava,2000,65367,1410,5082,26.35
Maize,2000,12343,1410,5082,26.37
Maize,2000,12343,1410,5082,26.35
Plantains and others,2000,94268,1410,5082,26.37
Plantains and others,2000,94268,1410,5082,26.35
Potatoes,2000,142405,1410,5082,26.37
Potatoes,2000,142405,1410,5082,26.35
"Rice, paddy",2000,46372,1410,5082,26.37
"Rice, paddy",2000,46372,1410,5082,26.35
Sorghum,2000,24912,1410,5082,26.37
Sorghum,2000,24912,1410,5082,26.35
